"Date","CIK","Score"
"2010-07-16","1327471",""
"2010-08-02","1113914",""
"2010-12-22","1134765",""
"2010-11-04","1416208",""
"2010-11-24","1437104",""
"2010-12-01","1190354",""
"2010-11-02","940438",""
"2010-11-29","1227090",""
"2010-11-30","1007273",""
"2010-12-02","1424128",""
"2010-11-29","1401097",""
"2010-10-18","925173",""
"2011-02-11","1421496",""
"2011-01-27","1504008",""
"2011-02-24","1072725",""
"2011-02-07","913277",""
"2011-03-07","1468651",""
"2011-03-18","1327364",""
"2011-02-22","1505518",""
"2011-02-10","1034261",""
"2011-02-09","1437639",""
"2011-02-09","1504169",""
"2011-05-10","1208315",""
"2011-05-16","927720",""
"2011-05-03","1485358",""
"2011-04-26","1186646",""
"2011-04-08","1328079",""
"2011-04-05","924515",""
"2011-04-20","707549",""
"2011-04-18","764195",""
"2011-04-28","811808",""
"2011-06-24","110536",""
"2011-08-15","880446",""
"2011-09-13","1058623",""
"2011-09-13","1196229",""
"2011-09-14","1071264",""
"2011-08-16","1277856",""
"2011-08-16","67625",""
"2011-08-05","1047304",""
"2011-08-17","1229269",""
"2011-07-13","897878",""
"2011-08-12","1525040",""
"2011-11-09","1317407",""
"2011-10-06","1027220",""
"2011-11-16","1191557",""
"2011-12-15","1140310",""
"2011-11-29","886048",""
"2011-10-19","1367030",""
"2011-11-10","1534038",""
"2011-10-06","755806",""
"2011-10-13","1524252",""
"2011-10-24","921738",""
"2012-03-08","1285786",""
"2012-01-17","1013488",""
"2012-02-27","920424",""
"2012-03-05","867773",""
"2012-02-09","1056288",""
"2012-02-17","1002590",""
"2012-02-07","1500217",""
"2012-03-30","1181862",""
"2012-03-19","1410715",""
"2012-02-14","1465109",""
"2012-04-19","1331757",""
"2012-05-14","1213596",""
"2012-04-18","1032208",""
"2012-05-01","1092720",""
"2012-06-29","318306",""
"2012-05-15","923168",""
"2012-04-26","1035674",""
"2012-04-04","1532063",""
"2012-06-07","886163",""
"2012-06-01","1056285",""
"2012-08-08","1435736",""
"2012-09-12","1263463",""
"2012-09-12","1410838",""
"2012-07-12","1531669",""
"2012-09-11","1287750",""
"2012-08-29","1029730",""
"2012-07-24","1356814",""
"2012-08-03","920371",""
"2012-09-26","944809",""
"2012-07-31","1540700",""
"2012-11-06","846421",""
"2012-11-06","9984",""
"2012-10-09","814547",""
"2012-10-01","887637",""
"2012-12-14","1329957",""
"2012-12-07","1221497",""
"2012-10-16","868725",""
"2012-11-21","1557239",""
"2012-12-06","356173",""
"2012-11-14","1040508",""
"2013-01-02","1033005",""
"2013-01-02","778438",""
"2013-02-14","1219597",""
"2013-01-04","1513212",""
"2013-02-01","1087294",""
"2013-01-25","1372688",""
"2013-03-08","1492633",""
"2013-03-05","1215800",""
"2013-02-15","1456738",""
"2013-01-14","1508330",""
"2013-06-14","921582",""
"2013-04-16","1474547",""
"2013-05-03","93410",""
"2013-06-21","1176019",""
"2013-06-11","1389125",""
"2013-04-04","1223786",""
"2013-04-16","841071",""
"2013-05-14","1048477",""
"2013-06-03","1518724",""
"2013-04-03","1473597",""
"2013-08-16","1315657",""
"2013-09-26","1383312",""
"2013-07-19","1532750",""
"2013-09-05","1228622",""
"2013-07-02","1098881",""
"2013-07-11","1576699",""
"2013-09-30","818686",""
"2013-08-30","1511699",""
"2013-08-07","1583710",""
"2013-08-02","1312875",""
"2013-10-01","1053092",""
"2013-10-21","1278826",""
"2013-10-10","1046292",""
"2013-11-14","1349123",""
"2013-12-31","1394638",""
"2013-11-14","1420720",""
"2013-11-18","1196826",""
"2013-10-21","1038074",""
"2013-11-14","1517936",""
"2013-12-06","1565025",""
"2014-02-10","102909",""
"2014-01-06","1324518",""
"2014-01-16","946110",""
"2014-02-18","1502883",""
"2014-02-21","1237823",""
"2014-02-18","1198988",""
"2014-01-23","1125259",""
"2014-02-27","745463",""
"2014-03-06","1314152",""
"2014-01-30","1126975",""
"2014-05-27","1595730",""
"2014-05-02","912183",""
"2014-06-30","1597855",""
"2014-04-28","1185339",""
"2014-06-27","1451093",""
"2014-06-27","814679",""
"2014-05-28","1270859",""
"2014-05-06","50493",""
"2014-05-28","916076",""
"2014-06-02","727207",""
"2014-09-17","1603364",""
"2014-07-02","1145460",""
"2014-08-06","1354730",""
"2014-07-31","30167",""
"2014-09-10","1220638",""
"2014-08-21","1063537",""
"2014-08-12","1108524",""
"2014-08-27","1184471",""
"2014-07-25","1589826",""
"2014-08-29","103872",""
"2014-10-27","1548312",""
"2014-10-28","1074440",""
"2014-12-02","1096385",""
"2014-10-23","1242132",""
"2014-12-10","1499619",""
"2014-10-03","821002",""
"2014-11-10","944747",""
"2014-11-14","1375063",""
"2014-12-12","1334805",""
"2014-11-18","354190",""
"2015-02-11","1368458",""
"2015-02-05","103595",""
"2015-02-12","1377789",""
"2015-02-27","1595357",""
"2015-03-02","1338359",""
"2015-02-19","49648",""
"2015-03-03","1573297",""
"2015-01-22","73124",""
"2015-02-10","1442573",""
"2015-02-12","1383951",""
"2015-06-25","1587289",""
"2015-06-02","1524471",""
"2015-05-06","878734",""
"2015-06-17","1013071",""
"2015-04-09","1042776",""
"2015-04-17","318673",""
"2015-04-24","1592851",""
"2015-04-23","1017043",""
"2015-05-14","1641436",""
"2015-06-01","795422",""
"2015-09-03","1045742",""
"2015-08-06","72971",""
"2015-09-11","1467858",""
"2015-09-01","920547",""
"2015-08-27","1457782",""
"2015-07-20","890394",""
"2015-08-24","1651405",""
"2015-09-23","1373203",""
"2015-09-08","1604924",""
"2015-07-30","1070304",""
"2015-12-14","1660298",""
"2015-12-17","1575604",""
"2015-11-30","945908",""
"2015-11-19","1385730",""
"2015-12-28","1646215",""
"2015-12-11","56873",""
"2015-11-25","313927",""
"2015-11-17","1220073",""
"2015-12-09","897111",""
"2015-11-10","1028874",""
"2016-01-19","1327664",""
"2016-01-25","1607245",""
"2016-01-11","1522066",""
"2016-01-27","1437479",""
"2016-02-29","1319311",""
"2016-03-18","1082554",""
"2016-02-23","1667627",""
"2016-02-16","1576053",""
"2016-02-03","1077650",""
"2016-03-02","1635118",""
"2016-04-22","1620393",""
"2016-04-19","1268589",""
"2016-04-28","54381",""
"2016-05-02","1659939",""
"2016-05-26","1642251",""
"2016-05-09","882154",""
"2016-04-01","1538484",""
"2016-04-13","1539953",""
"2016-06-06","1593195",""
"2016-05-10","1077183",""
"2016-07-28","839533",""
"2016-08-25","1667325",""
"2016-09-20","1089113",""
"2016-07-05","783280",""
"2016-09-02","55529",""
"2016-08-10","1681485",""
"2016-07-19","1312616",""
"2016-08-30","1477491",""
"2016-07-22","1018368",""
"2016-08-12","1584137",""
"2016-11-22","1031623",""
"2016-10-04","812128",""
"2016-11-29","893958",""
"2016-12-21","1319081",""
"2016-10-20","1337117",""
"2016-11-01","1091748",""
"2016-10-31","886982",""
"2016-11-21","1218326",""
"2016-11-01","1245773",""
"2016-12-14","778164",""
"2017-01-11","908187",""
"2017-02-03","877422",""
"2017-03-27","1617762",""
"2017-02-13","876883",""
"2017-01-05","1407032",""
"2017-01-13","1040829",""
"2017-01-04","1430592",""
"2017-01-19","1199569",""
"2017-03-01","1078099",""
"2017-03-23","1689620",""
"2017-05-31","1411207",""
"2017-06-13","1179004",""
"2017-05-02","91767",""
"2017-06-01","1163739",""
"2017-06-15","1401564",""
"2017-05-19","277948",""
"2017-06-01","1575017",""
"2017-04-25","1016073",""
"2017-05-03","928022",""
"2017-05-11","1539894",""
"2017-09-12","1229938",""
"2017-07-11","1180079",""
"2017-07-25","1086909",""
"2017-08-17","1351069",""
"2017-08-03","1712727",""
"2017-08-22","1282663",""
"2017-09-26","1586494",""
"2017-09-18","1674910",""
"2017-09-19","1078799",""
"2017-08-03","1382184",""
"2017-10-19","880366",""
"2017-11-01","1024193",""
"2017-11-24","1355839",""
"2017-12-15","1464165",""
"2017-10-06","891014",""
"2017-10-26","1524025",""
"2017-12-06","1049782",""
"2017-12-14","1632489",""
"2017-11-06","1000753",""
"2017-10-02","5272",""
"2018-03-23","1324285",""
"2018-01-29","1680626",""
"2018-03-22","917523",""
"2018-01-04","1677329",""
"2018-02-14","898382",""
"2018-01-03","929351",""
"2018-02-13","1550625",""
"2018-01-08","896162",""
"2018-03-30","1368678",""
"2018-03-27","1331971",""
"2018-05-21","1488058",""
"2018-05-02","314203",""
"2018-04-27","1558785",""
"2018-05-31","19617",""
"2018-06-20","1506184",""
"2018-04-19","73124",""
"2018-05-14","1643174",""
"2018-05-17","812074",""
"2018-06-28","1737422",""
"2018-05-04","1193298",""
"2018-07-13","1530249",""
"2018-08-06","1001907",""
"2018-08-14","1451512",""
"2018-07-18","1711881",""
"2018-08-27","1750811",""
"2018-07-31","1665653",""
"2018-08-02","1618292",""
"2018-07-16","1471261",""
"2018-09-10","1665650",""
"2018-08-15","1305473",""
"2018-10-22","886982",""
"2018-10-05","1609212",""
"2018-12-28","1506213",""
"2018-11-14","1569620",""
"2018-10-26","783740",""
"2018-11-02","922113",""
"2018-12-13","1535174",""
"2018-12-17","1758676",""
"2018-11-14","1160846",""
"2018-11-14","1248051",""
"2019-02-13","1445305",""
